N/D;Airport;Flight Number;A/D;Time;From;To;Ops Days;Org/Nxt;Prv/Fin;Seats;A/C;STC;Frequency;Wait;;;;Season;Rotation ID;Code;Registration;Last Update;
N;LYS;OS  354;D;1150;20260131;20260328;0000060;VIE;VIE;120;E95;J;1;;;;;W25;151;;;15MAY25 0946;
N;LYS;BA  354;A;1410;20251029;20260325;0030000;LHR;LHR;144;319;J;1;;;;;W25;152;;;03JUN25 1508;
N;LYS;BA  355;D;1500;20251029;20260325;0030000;LHR;LHR;144;319;J;1;;;;;W25;153;;;03JUN25 1509;
N;LYS;BA  356;A;0845;20251026;20260322;0000007;LHR;LHR;180;320;J;1;;;;;W25;154;;;03JUN25 1509;
N;LYS;BA  356;A;0745;20251030;20260326;0004000;LHR;LHR;180;320;J;1;;;;;W25;155;;;03JUN25 1509;
N;LYS;BA  356;A;0940;20260106;20260210;0200000;LHR;LHR;180;32A;J;1;;;;;W25;156;;;03JUL25 1245;
N;LYS;BA  357;D;0930;20251026;20260322;0000007;LHR;LHR;180;320;J;1;;;;;W25;157;;;03JUN25 1509;
N;LYS;BA  357;D;0835;20251030;20260326;0004000;LHR;LHR;180;320;J;1;;;;;W25;158;;;03JUN25 1508;
N;LYS;BA  357;D;1240;20260106;20260210;0200000;LHR;LHR;180;32A;J;1;;;;;W25;159;;;03JUL25 1245;
N;LYS;BA  358;A;1200;20251027;20260323;1000000;LHR;LHR;180;320;J;1;;;;;W25;160;;;03JUN25 1510;
N;LYS;BA  358;A;1215;20251028;20260324;0200000;LHR;LHR;180;320;J;1;;;;;W25;161;;;03JUN25 1510;
N;LYS;BA  358;A;1120;20251029;20260325;0030000;LHR;LHR;180;320;J;1;;;;;W25;162;;;15MAY25 1042;
N;LYS;BA  358;A;1310;20251030;20260326;0004000;LHR;LHR;144;319;J;1;;;;;W25;163;;;03JUN25 1508;
N;LYS;BA  358;A;1125;20251031;20260327;0000500;LHR;LHR;180;320;J;1;;;;;W25;164;;;03JUN25 1507;
N;LYS;BA  358;A;1240;20251101;20260328;0000060;LHR;LHR;180;32A;J;1;;;;;W25;165;;;15MAY25 1042;
N;LYS;BA  359;D;1250;20251027;20260323;1000000;LHR;LHR;180;320;J;1;;;;;W25;166;;;03JUN25 1509;
N;LYS;BA  359;D;1305;20251028;20260324;0200000;LHR;LHR;180;320;J;1;;;;;W25;167;;;03JUN25 1508;
N;LYS;BA  359;D;1210;20251029;20260325;0030000;LHR;LHR;180;320;J;1;;;;;W25;168;;;15MAY25 1042;
N;LYS;BA  359;D;1405;20251030;20260326;0004000;LHR;LHR;144;319;J;1;;;;;W25;169;;;03JUN25 1508;
N;LYS;BA  359;D;1230;20251031;20260327;0000500;LHR;LHR;180;320;J;1;;;;;W25;170;;;03JUN25 1510;
N;LYS;BA  359;D;1330;20251101;20260328;0000060;LHR;LHR;180;32A;J;1;;;;;W25;171;;;15MAY25 1042;
N;LYS;BA  360;A;1605;20251026;20260322;0000007;LHR;LHR;144;319;J;1;;;;;W25;172;;;13JUN25 0938;
N;LYS;BA  360;A;1710;20251027;20260323;1000000;LHR;LHR;144;319;J;1;;;;;W25;173;;;15MAY25 1042;
N;LYS;BA  360;A;1630;20251028;20260324;0200000;LHR;LHR;180;320;J;1;;;;;W25;174;;;13JUN25 0938;
N;LYS;BA  360;A;1705;20251029;20260325;0030000;LHR;LHR;144;319;J;1;;;;;W25;175;;;10JUN25 1339;
N;LYS;BA  360;A;1705;20251030;20260326;0004000;LHR;LHR;144;319;J;1;;;;;W25;176;;;10JUN25 1339;
N;LYS;BA  360;A;1630;20251101;20260328;0000060;LHR;LHR;180;32A;J;1;;;;;W25;177;;;10JUN25 1339;
N;LYS;BA  361;D;1705;20251026;20260322;0000007;LHR;LHR;144;319;J;1;;;;;W25;178;;;10JUN25 1339;
N;LYS;BA  361;D;1800;20251027;20260323;1000000;LHR;LHR;144;319;J;1;;;;;W25;179;;;15MAY25 1042;
N;LYS;BA  361;D;1740;20251028;20260324;0200000;LHR;LHR;180;320;J;1;;;;;W25;180;;;03JUN25 1508;
N;LYS;BA  361;D;1800;20251029;20260325;0030000;LHR;LHR;144;319;J;1;;;;;W25;181;;;10JUN25 1339;
N;LYS;BA  361;D;1800;20251030;20260326;0004000;LHR;LHR;144;319;J;1;;;;;W25;182;;;10JUN25 1339;
N;LYS;BA  361;D;1720;20251101;20260328;0000060;LHR;LHR;180;32A;J;1;;;;;W25;183;;;10JUN25 1339;
N;LYS;BA  362;A;1850;20251026;20260322;0000007;LHR;LHR;180;320;J;1;;;;;W25;184;;;03JUN25 1509;
N;LYS;BA  362;A;1920;20251031;20260327;0000500;LHR;LHR;180;32A;J;1;;;;;W25;185;;;03JUN25 1509;
N;LYS;BA  362;A;2000;20251101;20260328;0000060;LHR;LHR;180;32A;J;1;;;;;W25;186;;;15MAY25 1042;
N;LYS;BA  362;A;1915;20260107;20260211;0030000;LHR;LHR;144;319;J;1;;;;;W25;187;;;03JUL25 1245;
N;LYS;BA  362;A;1845;20260108;20260205;0004000;LHR;LHR;144;319;J;1;;;;;W25;188;;;03JUL25 1245;
N;LYS;BA  363;D;1935;20251026;20260322;0000007;LHR;LHR;180;320;J;1;;;;;W25;189;;;03JUN25 1508;
N;LYS;BA  363;D;2010;20251031;20260327;0000500;LHR;LHR;180;32A;J;1;;;;;W25;190;;;03JUN25 1510;
N;LYS;BA  363;D;2045;20251101;20260328;0000060;LHR;LHR;180;32A;J;1;;;;;W25;191;;;15MAY25 1042;
N;LYS;BA  363;D;2000;20260107;20260211;0030000;LHR;LHR;144;319;J;1;;;;;W25;192;;;03JUL25 1245;
N;LYS;BA  363;D;1930;20260108;20260205;0004000;LHR;LHR;144;319;J;1;;;;;W25;193;;;03JUL25 1245;
N;LYS;BA 8606;A;0915;20251213;20260328;0000060;LHR;LHR;220;32Q;C;1;;;;;W25;194;;;15JUL25 1625;
N;LYS;BA 8607;D;1025;20251213;20260328;0000060;LHR;LHR;220;32Q;C;1;;;;;W25;195;;;15JUL25 1625;
N;LYS;SI 8451;A;1205;20251220;20260328;0000060;JER;JER;70;AT7;J;1;;;;;W25;196;;;15MAY25 1332;
N;LYS;SI 8452;D;1245;20251220;20260328;0000060;JER;JER;70;AT7;J;1;;;;;W25;197;;;15MAY25 1332;
